@relation 'Speed Dating Data_10-27_updatedfromfieldV1-weka.filters.unsupervised.attribute.NumericToNominal-R1,2,3,6,8,24,27,30,31,32,69-weka.filters.unsupervised.attribute.NumericToNominal-R29-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1-weka.filters.supervised.instance.SMOTE-C0-K5-P100.0-S1'

@attribute gender {0,1}
@attribute condtn {1,2}
@attribute wave {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21}
@attribute round numeric
@attribute position numeric
@attribute order {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22}
@attribute int_corr numeric
@attribute samerace {0,1}
@attribute age_o numeric
@attribute race_o numeric
@attribute pf_o_att numeric
@attribute pf_o_sin numeric
@attribute pf_o_int numeric
@attribute pf_o_fun numeric
@attribute pf_o_amb numeric
@attribute pf_o_sha numeric
@attribute attr_o numeric
@attribute sinc_o numeric
@attribute intel_o numeric
@attribute fun_o numeric
@attribute amb_o numeric
@attribute shar_o numeric
@attribute age numeric
@attribute race {1,2,3,4,6}
@attribute imprace numeric
@attribute imprelig numeric
@attribute from {Chicago,Texas,Miami,'New York',California,'Washington DC',Michigan,Israel,Italy,Philadelphia,Brooklyn,Florida,China,'San Francisco',India,Maryland,Taiwan}
@attribute income numeric
@attribute goal {1,2,3,4,5,6}
@attribute date {1,2,3,4,5,6,7}
@attribute go_out {1,2,3,4,5}
@attribute career {Lawyer,Entrepreneur,'Humanitarian Affairs','Creative Arts',Research,Undecided,'Real Estate ',Doctor,'Psychologist ','Social Work',Architecture,Politics,Other,'Engineer '}
@attribute sports numeric
@attribute tvsports numeric
@attribute exercise numeric
@attribute dining numeric
@attribute museums numeric
@attribute art numeric
@attribute hiking numeric
@attribute gaming numeric
@attribute clubbing numeric
@attribute reading numeric
@attribute tv numeric
@attribute theater numeric
@attribute movies numeric
@attribute concerts numeric
@attribute music numeric
@attribute shopping numeric
@attribute yoga numeric
@attribute exphappy numeric
@attribute attr1_1 numeric
@attribute sinc1_1 numeric
@attribute intel1_1 numeric
@attribute fun1_1 numeric
@attribute amb1_1 numeric
@attribute shar1_1 numeric
@attribute attr2_1 numeric
@attribute sinc2_1 numeric
@attribute intel2_1 numeric
@attribute fun2_1 numeric
@attribute amb2_1 numeric
@attribute shar2_1 numeric
@attribute attr3_1 numeric
@attribute sinc3_1 numeric
@attribute fun3_1 numeric
@attribute intel3_1 numeric
@attribute amb3_1 numeric
@attribute length numeric
@attribute match {0,1}

@data
0,1,1,10,7,4,0.14,0,27,2,35,20,20,20,0,5,6,8,8,8,8,6,21,4,2,4,Chicago,69487,2,7,1,Lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,2,0
0,1,1,10,7,3,0.54,0,22,2,60,0,0,40,0,0,7,8,10,7,7,5,21,4,2,4,Chicago,69487,2,7,1,Lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,2,0
0,1,1,10,7,5,0.61,0,23,2,30,5,15,40,5,5,7,8,9,8,9,8,21,4,2,4,Chicago,69487,2,7,1,Lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,2,1
0,1,1,10,7,7,0.21,0,24,3,30,10,20,10,10,20,8,7,9,6,9,7,21,4,2,4,Chicago,69487,2,7,1,Lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,2,1
0,1,1,10,7,6,0.25,0,25,2,50,0,30,10,0,10,7,7,8,8,7,7,21,4,2,4,Chicago,69487,2,7,1,Lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,2,0
0,1,1,10,7,1,0.34,0,30,2,35,15,25,10,5,10,3,6,7,5,8,7,21,4,2,4,Chicago,69487,2,7,1,Lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,2,0
0,1,1,10,7,2,0.5,0,27,2,33.33,11.11,11.11,11.11,11.11,22.22,6,7,5,6,8,6,21,4,2,4,Chicago,69487,2,7,1,Lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,2,0
0,1,1,10,7,8,0.28,0,28,2,50,0,25,10,0,15,7,7,8,8,8,9,21,4,2,4,Chicago,69487,2,7,1,Lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,2,1
0,1,1,10,7,9,-0.36,0,24,2,100,0,0,0,0,0,6,6,6,6,6,6,21,4,2,4,Chicago,69487,2,7,1,Lawyer,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3,15,20,20,15,15,15,35,20,15,20,5,5,6,8,8,8,7,2,0
0,1,1,10,6,3,-0.18,1,27,2,35,20,20,20,0,5,6,7,8,7,7,5,23,2,1,1,Texas,37754,1,5,1,Lawyer,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,3,0
0,1,1,10,6,2,-0.18,1,22,2,60,0,0,40,0,0,6,5,10,6,6,5,23,2,1,1,Texas,37754,1,5,1,Lawyer,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,3,0
0,1,1,10,6,4,-0.18,1,23,2,30,5,15,40,5,5,7,7,7,9,9,9,23,2,1,1,Texas,37754,1,5,1,Lawyer,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,3,1
0,1,1,10,6,6,0.21,0,24,3,30,10,20,10,10,20,8,8,9,8,8,9,23,2,1,1,Texas,37754,1,5,1,Lawyer,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,3,0
0,1,1,10,6,5,0.37,1,25,2,50,0,30,10,0,10,6,6,7,7,8,7,23,2,1,1,Texas,37754,1,5,1,Lawyer,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,3,0
0,1,1,10,6,10,0.35,1,30,2,35,15,25,10,5,10,7,6,3,5,6,5,23,2,1,1,Texas,37754,1,5,1,Lawyer,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1,20,20,20,20,10,10,30,10,15,30,5,10,7,8,9,7,8,3,0
